Item Number,Level 1,Level 2,Level 3,Level 4,Level 5,Description Line 1_x,Brand Name,Pack Size,Unit of Measure_x,Priced by Weight,Description Line 2,Description Line 3,Class Name,Special Order,Item Image,On Hand Quantity_x,Item Avg. Weight,Due Date,Unit of Measure_y,Description Line 1_y,On Hand Quantity_y,Quantity Ordered,Open Balance,Expected Date
75021,84.6,83.4,82.25,78.95,69.65,Vacuum Pouch (3ml) 8x12*,Flair Pak,1000ct,CASE,N,,,NON-FOOD ITEMS,Y,,0,0.0,07/26/23,CASE,Vacuum Pouch (3ml) 8x12*,0,1.0,1.0,07/26/23
75107,54.7,53.9,52.45,50.35,44.4,Olives Mediterranean Mix Pitted,Frutto D'Italia,2/1.8kg,CASE,N,,,OLIVES,N,,3,10.0,07/24/23,CASE,Olives Mediterranean Mix Pitted,3,3.0,3.0,07/31/23
75111,434.65,428.55,422.6,405.7,357.95,Balsamic Artigianale Villa Manodori,Villa Manodori,12/250ml,CASE,N,,,VINEGARS,N,,1,18.0,07/24/23,CASE,Balsamic Artigianale Villa Manodori,1,1.0,1.0,07/31/23
75114,136.35,136.35,132.55,127.25,112.3,Mustard Dijon Grain,Fallot,4/11lb,CASE,N,,,MUSTARD,N,,0,52.0,07/24/23,CASE,Mustard Dijon Grain,0,3.0,3.0,07/31/23
75604,109.65,116.3,109.65,109.65,90.3,Plum Sugar Vinegar 6/20oz,Taiwan Sugar Co,6/20oz,CASE,N,,,VINEGARS,N,,9,12.0,/  /,CASE,Plum Sugar Vinegar 6/20oz,9,4.0,4.0,08/01/23
76000,77.3,75.1,74.1,71.1,62.75,"Tart Shell Round Sweet 1.9""",La Rose Noir,125ct,CASE,N,8090417,,TART SHELLS,N,,0,0.0,07/24/23,CASE,"Tart Shell Round Sweet 1.9""",0,30.0,30.0,07/31/23
76009,93.4,92.1,90.85,87.2,76.95,"Tart Shell Round Mini Graham 1.4""",La Rose Noir,210ct,CASE,N,8095066,,TART SHELLS,N,,0,0.0,07/24/23,CASE,"Tart Shell Round Mini Graham 1.4""",0,7.0,7.0,07/31/23
76014,76.2,75.1,74.1,71.1,62.75,"Tart Shell Round Savory 1.8""",La Rose Noir,125ct,CASE,N,8090385,,TART SHELLS,N,,4,0.0,07/24/23,CASE,"Tart Shell Round Savory 1.8""",4,20.0,20.0,07/31/23
76125,71.5,69.45,67.55,64.85,57.2,"Tart Shell Straight 3.75"" Sweet",Jean Ducourtieu,72ct,CASE,N,150559,,TART SHELLS,N,,9,0.0,/  /,CASE,"Tart Shell Straight 3.75"" Sweet",9,6.0,6.0,07/31/23
76126,80.55,79.4,78.3,75.15,66.35,"Tart Shell Graham Round 2.2""",La Rose Noir,100ct,CASE,N,8095067,,TART SHELLS,N,,1,0.0,07/24/23,CASE,"Tart Shell Graham Round 2.2""",1,4.0,4.0,07/31/23
77002,5.55,5.15,5.0,4.8,4.25,Almonds Sliced Blanched,Potenza,25lb,CASE,Y,,,NUTS,N,,10,25.0,07/25/23,CASE,Almonds Sliced Blanched,10,5.0,5.0,08/01/23
77002,5.55,5.15,5.0,4.8,4.25,Almonds Sliced Blanched,Potenza,25lb,CASE,Y,,,NUTS,N,,10,25.0,07/25/23,CASE,Almonds Sliced Blanched,10,3.0,3.0,08/08/23
77003,6.55,6.45,6.35,6.1,5.4,Figs Calimyrna,Potenza,30lb,CASE,Y,,,FRUITS,N,,2,30.0,07/25/23,CASE,Figs Calimyrna,2,2.0,2.0,08/01/23
77017,7.4,7.2,7.1,6.8,6.0,Cherries Tart Dried,Potenza,25lb,CASE,Y,,,FRUITS,N,,10,25.0,/  /,CASE,Cherries Tart Dried,10,8.0,8.0,08/08/23
77022,4.65,4.6,4.55,4.35,3.85,Almonds Sliced Natural Raw,Potenza,25lb,CASE,Y,,,NUTS,N,,11,25.0,07/25/23,CASE,Almonds Sliced Natural Raw,11,12.0,12.0,08/01/23
77023,9.0,8.9,8.75,8.4,7.45,Macadamia Nuts Halves & Pieces,Potenza,25lb,CASE,Y,,,NUTS,N,,3,25.0,07/25/23,CASE,Macadamia Nuts Halves & Pieces,3,2.0,2.0,08/01/23
