"Item Number","Unit of Measure","Description Line 1","On Hand Quantity","Quantity Ordered","Open Balance","Expected Date"
"45166","CASE","Olive Oil Extra Virgin 12/250mL",9,4.00,4.00,"08/08/23"
"45130","CASE","Fettucine #18 20/1lb",8,4.00,4.00,"08/08/23"
"45074","CASE","Marinara Sauce 12/16oz",8,12.00,12.00,"08/08/23"
"45022","CASE","Chick Peas 24/16oz",8,6.00,6.00,"08/08/23"
"45086","CASE","Crushed Tomatoes 12/28oz",7,10.00,10.00,"08/08/23"
"45025","CASE","Clams Baby 24/10oz",7,6.00,6.00,"08/08/23"
"45146","CASE","Peppers Garlic Roasted",6,6.00,6.00,"08/08/23"
"45136","CASE","Biscotti Chocolate Cookies 12/7oz",6,6.00,6.00,"08/08/23"
"45092","CASE","Vinegar Red Wine 12/32oz",6,2.00,2.00,"08/08/23"
"45164","CASE","Tomato Basil Sauce 12/32oz",5,8.00,8.00,"08/08/23"
"45110","CASE","Cut Ziti #8 20/1lb",5,7.00,7.00,"08/08/23"
"45109","CASE","Orechhiette Piccole #300 20/1lb",5,2.00,2.00,"08/08/23"
"45101","CASE","Long Fusilli #200 20/1lb",5,6.00,6.00,"08/08/23"
"45079","CASE","Fra Diavolo Sauce 12/16oz",5,12.00,12.00,"08/08/23"
"45077","CASE","Spaghetti Sauce 12/16oz",5,12.00,12.00,"08/08/23"
"45069","CASE","Pepperoncini 12/12oz",5,12.00,12.00,"08/08/23"
"45018","CASE","Capers In Vinegar 12/8oz",5,12.00,12.00,"08/08/23"
"45254","CASE","Shells Medium #13 20/1lb",4,2.00,2.00,"08/08/23"
"45139","CASE","Tomatoes Italian Peeled 12/28oz",4,12.00,12.00,"08/08/23"
"45105","CASE","Rigatoni #7 20/1lb",4,8.00,8.00,"08/08/23"
"45177","CASE","Spaghettini #2 20/1lb*",3,2.00,2.00,"08/08/23"
"45149","CASE","Polenta 12/17oz",3,3.00,3.00,"08/08/23"
"45129","CASE","Giardiniera 12/32oz",3,6.00,6.00,"08/08/23"
"45085","CASE","Tomato Puree 12/28oz",3,6.00,6.00,"08/08/23"
"45078","CASE","Spaghetti Sauce 12/32oz",3,12.00,12.00,"08/08/23"
"45075","CASE","Marinara Sauce 12/32oz",3,2.00,2.00,"08/08/23"
"45096","CASE","Filetto Di Pomodoro Sauce 12/16oz",2,6.00,6.00,"08/08/23"
"16050","CASE","Tonno Tuna in Oil 24/6oz",2,6.00,6.00,"08/08/23"
"45138","CASE","Artichoke Hearts 1/4 12/14oz",1,8.00,8.00,"08/08/23"
"45123","CASE","Arborio Rice 12/1lb",1,20.00,20.00,"08/08/23"
"45098","CASE","Orzo #16 20/1lb",1,12.00,12.00,"08/08/23"
"45081","CASE","Filetto Di Pomodoro Sauce 12/32oz*",1,4.00,4.00,"08/08/23"
"45052","CASE","Red Peppers Roasted 12/7.5oz*",1,6.00,6.00,"08/08/23"
"45016","CASE","Bread Crumbs",1,12.00,12.00,"08/08/23"
"45150","CASE","Mafalda #25 20/1lb",0,6.00,6.00,"08/08/23"
"45102","CASE","Linguine #3 20/1lb",0,12.00,12.00,"08/08/23"
"45046","CASE","Olives Extra Large Pitted 24/6oz",0,6.00,6.00,"08/08/23"
"45152","CASE","Long Ziti #23 20/1lb",-1,12.00,12.00,"08/08/23"
"45148","CASE","Semolina 12/17oz*",-1,10.00,10.00,"08/08/23"
"45134","CASE","Biscotti Almond Cookies 12/7oz",-1,16.00,16.00,"08/08/23"
"45089","CASE","Vodka Sauce 12/32oz",-1,16.00,16.00,"08/08/23"
"45076","CASE","Pizza Sauce 12/16oz",-3,16.00,16.00,"08/08/23"
